pid,local_id,parent,mods_genre_ms,Title
harleyspiller:49322,16-18-5,info:fedora/harleyspiller:MetadataReview11,menus,Comida Casera China
harleyspiller:29322,16-18-6,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49359,16-18-6,info:fedora/harleyspiller:MetadataReview11,menus,"Corona De Oro, La"
harleyspiller:29302,16-18-7,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49379,16-18-7,info:fedora/harleyspiller:MetadataReview11,menus,Fat Chen
harleyspiller:29309,16-18-8,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49364,16-18-8,info:fedora/harleyspiller:MetadataReview11,menus,Gran China
harleyspiller:29334,16-18-9,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49353,16-18-9,info:fedora/harleyspiller:MetadataReview11,menus,Hong Nam C.A.
harleyspiller:29289,16-19-1,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49401,16-19-1,info:fedora/harleyspiller:MetadataReview11,menus,Continental Airlines
harleyspiller:29269,16-19-2,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49410,16-19-2,info:fedora/harleyspiller:MetadataReview11,menus,Continental Airlines
harleyspiller:29277,16-19-3,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49420,16-19-3,info:fedora/harleyspiller:MetadataReview11,menus,Dragonair
harleyspiller:29274,16-19-4,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49423,16-19-4,info:fedora/harleyspiller:MetadataReview11,menus,Dragonair
harleyspiller:29264,16-19-5,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49415,16-19-5,info:fedora/harleyspiller:MetadataReview11,menus,Dragonair
harleyspiller:29298,16-19-6,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49400,16-19-6,info:fedora/harleyspiller:MetadataReview11,menus,United Airlines
harleyspiller:29283,16-19-7,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49391,16-19-7,info:fedora/harleyspiller:MetadataReview11,menus,United Airlines
harleyspiller:29280,16-19-8,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49397,16-19-8,info:fedora/harleyspiller:MetadataReview11,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:29244,16-20-1,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49426,16-20-1,info:fedora/harleyspiller:MetadataReview11,menus,Victoria Cruises
harleyspiller:29252,16-20-2,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49443,16-20-2,info:fedora/harleyspiller:MetadataReview11,menus,Victoria Cruises
harleyspiller:29255,16-20-3,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49440,16-20-3,info:fedora/harleyspiller:MetadataReview11,menus,Victoria Cruises
harleyspiller:29258,16-20-4,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49434,16-20-4,info:fedora/harleyspiller:MetadataReview11,menus,Victoria Cruises
harleyspiller:29241,16-21-1,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49446,16-21-1,info:fedora/harleyspiller:MetadataReview11,menus,"Harriet, Mort, Lora, Jill, Aaron, Phil and Harley's Happy Thanksgiving 2002"
harleyspiller:39109,16-4-1,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:40539,16-4-1,info:fedora/harleyspiller:MetadataReview7,menus,China Panda I
harleyspiller:39112,16-4-10,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:40525,16-4-10,info:fedora/harleyspiller:MetadataReview7,menus,Peking Pavilion
harleyspiller:39098,16-4-11,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:40533,16-4-11,info:fedora/harleyspiller:MetadataReview7,menus,Peking Restaurant
harleyspiller:39092,16-4-12,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:40553,16-4-12,info:fedora/harleyspiller:MetadataReview7,menus,Peking Restaurant
harleyspiller:39082,16-4-13,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:40561,16-4-13,info:fedora/harleyspiller:MetadataReview7,menus,Roly Poly
harleyspiller:39079,16-4-14,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:40558,16-4-14,info:fedora/harleyspiller:MetadataReview7,menus,Suk Hing
harleyspiller:39089,16-4-15,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:40545,16-4-15,info:fedora/harleyspiller:MetadataReview7,menus,Top's China Buffet
harleyspiller:39085,16-4-2,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:40551,16-4-2,info:fedora/harleyspiller:MetadataReview7,menus,China Seafood Hut
harleyspiller:39095,16-4-3,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:40564,16-4-3,info:fedora/harleyspiller:MetadataReview7,menus,Confucius Says
harleyspiller:39087,16-4-4,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:40556,16-4-4,info:fedora/harleyspiller:MetadataReview7,menus,Eastern Buffet
harleyspiller:39076,16-4-5,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:40548,16-4-5,info:fedora/harleyspiller:MetadataReview7,menus,"Eatery, The"
harleyspiller:39115,16-4-6,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
